,cross_val_dict,accuracy_dict,feature_importance_values,best_estimators
"Decision Tree Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch']",0.8156960741706504,0.7709923664122137,,"DecisionTreeClassifier(max_depth=89, min_samples_leaf=14, min_samples_split=19,
                       random_state=42)"
"Decision Tree Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp']",0.8156888309430682,0.7786259541984732,,"DecisionTreeClassifier(max_depth=89, min_samples_leaf=14, min_samples_split=19,
                       random_state=42)"
"Random Forest Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.815681587715486,0.7862595419847328,,"RandomForestClassifier(max_depth=71, max_features=0.6099966577826209,
                       min_samples_leaf=8, min_samples_split=16,
                       n_estimators=44, random_state=42)"
"SVM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch']",0.815681587715486,0.7938931297709924,,"SVC(C=5.986584841970366, probability=True, random_state=42)"
"SVM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp']",0.8156743444879039,0.7938931297709924,,"SVC(C=3.745401188473625, probability=True, random_state=42)"
"Random Forest Classifier tuned ['pclass', 'family_size', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8148413733159495,0.7709923664122137,,"RandomForestClassifier(max_depth=78, max_features=0.3910606075732408,
                       min_samples_leaf=18, min_samples_split=9,
                       n_estimators=397, random_state=42)"
"Random Forest Classifier tuned ['pclass', 'fare_per_person', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded']",0.8140011589164132,0.7786259541984732,,"RandomForestClassifier(max_depth=64, max_features=0.9922115592912175,
                       min_samples_split=13, n_estimators=323, random_state=42)"
"SVM Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.8139939156888311,0.8091603053435115,,"SVC(C=0.5641157902710026, gamma='auto', probability=True, random_state=42)"
"SVM Classifier tuned ['family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.8131319716065478,0.8015267175572519,,"SVC(C=1.834347898661638, gamma='auto', probability=True, random_state=42)"
"XGBoost Classifier tuned ['sibsp', 'family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.8131319716065478,0.8015267175572519,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"Random Forest Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8131247283789657,0.7557251908396947,,"RandomForestClassifier(max_depth=88, max_features=0.33370861113902184,
                       min_samples_leaf=8, min_samples_split=4,
                       n_estimators=671, random_state=42)"
"LightGBM Classifier tuned ['pclass', 'sibsp', 'parch', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8123279733449225,0.7862595419847328,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"Decision Tree Classifier tuned ['pclass', 'fare_per_person', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded']",0.8123062436621759,0.7633587786259542,,"DecisionTreeClassifier(max_depth=9, min_samples_leaf=2, min_samples_split=16,
                       random_state=42)"
"LightGBM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch']",0.8122917572070115,0.7633587786259542,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.8122845139794291,0.8015267175572519,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"Random Forest Classifier tuned ['family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.812277270751847,0.7938931297709924,,"RandomForestClassifier(max_depth=9, max_features=0.015966252220214194,
                       min_samples_leaf=2, min_samples_split=16,
                       n_estimators=965, random_state=42)"
"Random Forest Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.8114877589453862,0.7786259541984732,,"RandomForestClassifier(max_depth=82, max_features=0.5396921323890798,
                       min_samples_leaf=13, min_samples_split=10,
                       n_estimators=166, random_state=42)"
"LightGBM Classifier tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8114442995798928,0.7938931297709924,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
