,cross_val_dict,accuracy_dict,best_estimators
"XGBoost Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person', 'fare']",0.8123279733449225,0.7938931297709924,"XGBClassifier(colsample_bytree=0.587477463547968, gamma=4.910841716647178,
              learning_rate=0.5166358912710143, max_depth=2, n_estimators=906,
              random_state=42, scale_pos_weight=1.0310276780589922,
              subsample=0.9486078789766634)"
"Decision Tree Classifier tuned ['pclass', 'fare_per_person', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded']",0.8123062436621759,0.7633587786259542,"DecisionTreeClassifier(max_depth=9, min_samples_leaf=2, min_samples_split=16,
                       random_state=42)"
"LightGBM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch']",0.8122917572070115,0.7633587786259542,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"Random Forest Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.8114877589453862,0.7786259541984732,"RandomForestClassifier(max_depth=82, max_features=0.5396921323890798,
                       min_samples_leaf=13, min_samples_split=10,
                       n_estimators=166, random_state=42)"
"LightGBM Classifier tuned ['pclass', 'family_size', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8114587860350573,0.7633587786259542,"LGBMClassifier(learning_rate=0.03142918568673425, max_depth=52,
               n_estimators=105, random_state=42, verbosity=0)"
"LightGBM Classifier tuned ['pclass', 'parch', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.811451542807475,0.7786259541984732,"LGBMClassifier(learning_rate=0.03142918568673425, max_depth=52,
               n_estimators=105, random_state=42, verbosity=0)"
"LightGBM Classifier tuned ['family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.8114370563523107,0.8015267175572519,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"LightGBM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person']",0.8106403013182675,0.7709923664122137,"LGBMClassifier(learning_rate=0.662522284353982, max_depth=2, n_estimators=399,
               random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.8106330580906851,0.7557251908396947,"XGBClassifier(colsample_bytree=0.6150926341207776, gamma=2.4959668994237614,
              learning_rate=0.5720041992091831, max_depth=64, n_estimators=58,
              random_state=42, scale_pos_weight=0.5360377175443375,
              subsample=0.9972752553986706)"
"LightGBM Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8106040851803563,0.7709923664122137,"LGBMClassifier(learning_rate=0.03142918568673425, max_depth=52,
               n_estimators=105, random_state=42, verbosity=0)"
"LightGBM Classifier tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8106040851803563,0.7709923664122137,"LGBMClassifier(learning_rate=0.03142918568673425, max_depth=52,
               n_estimators=105, random_state=42, verbosity=0)"
"Random Forest Classifier tuned ['pclass', 'sibsp', 'parch', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8097566275532377,0.7862595419847328,"RandomForestClassifier(max_depth=19, max_features=0.3486659872917294,
                       min_samples_leaf=7, min_samples_split=10,
                       n_estimators=938, random_state=42)"
"Decision Tree Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.8097493843256556,0.7251908396946565,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=14, min_samples_split=8,
                       random_state=42)"
"LightGBM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.8097493843256555,0.7938931297709924,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch']",0.8097493843256555,0.7938931297709924,"XGBClassifier(colsample_bytree=0.587477463547968, gamma=4.910841716647178,
              learning_rate=0.5166358912710143, max_depth=2, n_estimators=906,
              random_state=42, scale_pos_weight=1.0310276780589922,
              subsample=0.9486078789766634)"
"XGBoost Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8089526292916125,0.7557251908396947,"XGBClassifier(colsample_bytree=0.6150926341207776, gamma=2.4959668994237614,
              learning_rate=0.5720041992091831, max_depth=64, n_estimators=58,
              random_state=42, scale_pos_weight=0.5360377175443375,
              subsample=0.9972752553986706)"
"Random Forest Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person']",0.8089164131537012,0.7633587786259542,"RandomForestClassifier(max_depth=14, max_features=0.49379559636439074,
                       min_samples_leaf=9, min_samples_split=16,
                       n_estimators=24, random_state=42)"
XGBoost Classifier basic,0.8089019266985368,0.7786259541984732,
"LightGBM Classifier tuned ['family_size', 'fare_per_person', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_scaled']",0.8088874402433724,0.7557251908396947,"LGBMClassifier(learning_rate=0.07404465173409036, max_depth=41, n_estimators=37,
               random_state=42, verbosity=0)"
"Decision Tree Classifier tuned ['pclass', 'family_size', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8080906852093293,0.7786259541984732,"DecisionTreeClassifier(max_depth=91, min_samples_leaf=10, min_samples_split=17,
                       random_state=42)"
"XGBoost Classifier tuned ['sibsp', 'family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.808047225843836,0.7938931297709924,"XGBClassifier(colsample_bytree=0.587477463547968, gamma=4.910841716647178,
              learning_rate=0.5166358912710143, max_depth=2, n_estimators=906,
              random_state=42, scale_pos_weight=1.0310276780589922,
              subsample=0.9486078789766634)"
"Random Forest Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person', 'fare']",0.8080399826162538,0.7862595419847328,"RandomForestClassifier(max_depth=3, max_features=0.5908929431882418,
                       min_samples_leaf=4, min_samples_split=4,
                       n_estimators=520, random_state=42)"
LightGBM Classifier basic,0.8072214978994641,0.7862595419847328,
"LightGBM Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.8072214978994641,0.7480916030534351,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['pclass', 'family_size', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8072070114442995,0.7938931297709924,"XGBClassifier(colsample_bytree=0.587477463547968, gamma=4.910841716647178,
              learning_rate=0.5166358912710143, max_depth=2, n_estimators=906,
              random_state=42, scale_pos_weight=1.0310276780589922,
              subsample=0.9486078789766634)"
