predictor,cross_val_dict,accuracy_dict,best_estimators,features
Decision Tree Classifier scaled tuned,0.7961973055193394,0.7938931297709924,"DecisionTreeClassifier(max_depth=52, min_samples_leaf=15, min_samples_split=12, random_state=42)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
XGBoost Classifier tuned,0.7961683326090105,0.7557251908396947,"XGBClassifier(colsample_bytree=0.6872700594236812, gamma=4.75357153204958, learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, scale_pos_weight=1.6601864044243653, subsample=0.5779972601681014)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
XGBoost Classifier scaled tuned,0.7961683326090105,0.7557251908396947,"XGBClassifier(colsample_bytree=0.6872700594236812, gamma=4.75357153204958, learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, scale_pos_weight=1.6601864044243653, subsample=0.5779972601681014)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Decision Tree Classifier tuned,0.7953643343473852,0.7480916030534351,"DecisionTreeClassifier(max_depth=72, min_samples_leaf=7, min_samples_split=12, random_state=42)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Decision Tree Classifier scaled tuned,0.7953643343473852,0.7480916030534351,"DecisionTreeClassifier(max_depth=72, min_samples_leaf=7, min_samples_split=12, random_state=42)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Random Forest Classifier basic,0.7953498478922209,0.7557251908396947,None,None
LightGBM Classifier tuned,0.7945386064030131,0.7709923664122137,"LGBMClassifier(learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, verbosity=0)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Logistic Regression Classifier basic,0.7936694190931479,0.7862595419847328,None,None
Logistic Regression Classifier tuned,0.7936694190931479,0.7862595419847328,"LogisticRegression(C=1.834347898661638, max_iter=1000, random_state=42)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Logistic Regression Classifier scaled tuned,0.7936694190931479,0.7862595419847328,"LogisticRegression(C=1.834347898661638, max_iter=1000, random_state=42)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
SVM Classifier scaled tuned,0.7936404461828191,0.8015267175572519,"SVC(C=3.745401188473625, probability=True, random_state=42)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
